#small-kruskal.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Small - Dense - Kruskal,72,45503,2|6,2,6-2|0-0
Small - Dense - Kruskal,73,46474,2|5,2,5-2|0-0
Small - Dense - Kruskal,74,41525,2|5|6,3,5-2|6-2|0-0
Small - Dense - Kruskal,75,29598,2|4,2,4-2|0-0
Small - Dense - Kruskal,76,31174,2|4|6,3,4-2|6-2|0-0
Small - Dense - Kruskal,77,32084,2|4|5,3,4-2|5-2|0-0
Small - Dense - Kruskal,78,36961,2|4|5|6,4,4-2|5-2|6-2|0-0
Small - Dense - Kruskal,79,29713,2|3,2,3-2|0-0
Small - Dense - Kruskal,80,39828,2|3|6,3,6-3|6-2|0-0
Small - Dense - Kruskal,81,32327,2|3|5,3,5-2|5-3|0-0
Small - Dense - Kruskal,82,30849,2|3|5|6,4,5-2|5-3|6-3|0-0
Small - Dense - Kruskal,83,51069,2|3|4,3,4-2|4-3|0-0
Small - Dense - Kruskal,84,35638,2|3|4|6,4,4-2|6-3|6-2|0-0
Small - Dense - Kruskal,85,30588,2|3|4|5,4,4-2|5-2|5-3|0-0
Small - Dense - Kruskal,86,59164,2|3|4|5|6,5,4-2|5-2|5-3|6-3|0-0
Small - Dense - Kruskal,87,48675,1,1,0-0
Small - Dense - Kruskal,88,52320,1|6,2,6-1|0-0
Small - Dense - Kruskal,89,40006,1|5,2,5-1|0-0
Small - Dense - Kruskal,90,47236,1|5|6,3,5-1|6-1|0-0
Small - Dense - Kruskal,91,33889,1|4,2,4-1|0-0
Small - Dense - Kruskal,92,25272,1|4|6,3,4-1|6-1|0-0
Small - Dense - Kruskal,93,29122,1|4|5,3,5-1|4-1|0-0
Small - Dense - Kruskal,94,26754,1|4|5|6,4,5-1|4-1|6-1|0-0
Small - Dense - Kruskal,95,24533,1|3,2,3-1|0-0
Small - Dense - Kruskal,96,35996,1|3|6,3,6-3|3-1|0-0
Small - Dense - Kruskal,97,29318,1|3|5,3,5-1|5-3|0-0
Small - Dense - Kruskal,98,29145,1|3|5|6,4,5-1|5-3|6-3|0-0
Small - Dense - Kruskal,99,27527,1|3|4,3,4-1|3-1|0-0
Small - Dense - Kruskal,100,42244,1|3|4|6,4,6-3|4-1|3-1|0-0
Small - Dense - Kruskal,101,37630,1|3|4|5,4,5-1|5-3|4-1|0-0
Small - Dense - Kruskal,102,32220,1|3|4|5|6,5,5-1|5-3|6-3|4-1|0-0
Small - Dense - Kruskal,103,24654,1|2,2,2-1|0-0
Small - Dense - Kruskal,104,34360,1|2|6,3,2-1|6-2|0-0
Small - Dense - Kruskal,105,24573,1|2|5,3,5-2|5-1|0-0
Small - Dense - Kruskal,106,38081,1|2|5|6,4,5-2|5-1|6-2|0-0
Small - Dense - Kruskal,107,34757,1|2|4,3,4-2|2-1|0-0
Small - Dense - Kruskal,108,24864,1|2|4|6,4,4-2|2-1|6-2|0-0
Small - Dense - Kruskal,109,36243,1|2|4|5,4,4-2|5-2|5-1|0-0
Small - Dense - Kruskal,110,31213,1|2|4|5|6,5,4-2|5-2|5-1|6-2|0-0
Small - Dense - Kruskal,111,23502,1|2|3,3,2-1|3-1|0-0
Small - Dense - Kruskal,112,25537,1|2|3|6,4,6-3|2-1|6-2|0-0
Small - Dense - Kruskal,113,25582,1|2|3|5,4,5-2|5-1|5-3|0-0
Small - Dense - Kruskal,114,25961,1|2|3|5|6,5,5-2|5-1|5-3|6-3|0-0
Small - Dense - Kruskal,115,32012,1|2|3|4,4,4-2|2-1|3-1|0-0
Small - Dense - Kruskal,116,23386,1|2|3|4|6,5,4-2|6-3|2-1|6-2|0-0
Small - Dense - Kruskal,117,25014,1|2|3|4|5,5,4-2|5-2|5-1|5-3|0-0
Small - Dense - Kruskal,118,34456,1|2|3|4|5|6,6,4-2|5-2|5-1|5-3|6-3|0-0
