#small-prim.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Small - Dense - Prim,77,44014,2|4|5,3,2-2|4-2|5-2
Small - Dense - Prim,78,71359,2|4|5|6,4,2-2|4-2|5-2|6-2
Small - Dense - Prim,79,26901,2|3,2,2-2|3-2
Small - Dense - Prim,80,43836,2|3|6,3,2-2|3-6|6-2
Small - Dense - Prim,81,42332,2|3|5,3,2-2|3-5|5-2
Small - Dense - Prim,82,55857,2|3|5|6,4,2-2|3-5|5-2|6-3
Small - Dense - Prim,83,42991,2|3|4,3,2-2|3-4|4-2
Small - Dense - Prim,84,92977,2|3|4|6,4,2-2|3-6|4-2|6-2
Small - Dense - Prim,85,54855,2|3|4|5,4,2-2|3-5|4-2|5-2
Small - Dense - Prim,86,92392,2|3|4|5|6,5,2-2|3-5|4-2|5-2|6-3
Small - Dense - Prim,87,15687,1,1,1-1
Small - Dense - Prim,88,27926,1|6,2,1-1|6-1
Small - Dense - Prim,89,37140,1|5,2,1-1|5-1
Small - Dense - Prim,90,44807,1|5|6,3,1-1|5-1|6-1
Small - Dense - Prim,91,26531,1|4,2,1-1|4-1
Small - Dense - Prim,92,34450,1|4|6,3,1-1|4-1|6-1
Small - Dense - Prim,93,46717,1|4|5,3,1-1|4-1|5-1
Small - Dense - Prim,94,48777,1|4|5|6,4,1-1|4-1|5-1|6-1
Small - Dense - Prim,95,38892,1|3,2,1-1|3-1
Small - Dense - Prim,96,39894,1|3|6,3,1-1|3-1|6-3
Small - Dense - Prim,97,38375,1|3|5,3,1-1|3-5|5-1
Small - Dense - Prim,98,49232,1|3|5|6,4,1-1|3-5|5-1|6-3
Small - Dense - Prim,99,44984,1|3|4,3,1-1|3-1|4-1
Small - Dense - Prim,100,68677,1|3|4|6,4,1-1|3-1|4-1|6-3
Small - Dense - Prim,101,37605,1|3|4|5,4,1-1|3-5|4-1|5-1
Small - Dense - Prim,102,46971,1|3|4|5|6,5,1-1|3-5|4-1|5-1|6-3
Small - Dense - Prim,103,28513,1|2,2,1-1|2-1
Small - Dense - Prim,104,27732,1|2|6,3,1-1|2-1|6-2
Small - Dense - Prim,105,30596,1|2|5,3,1-1|2-5|5-1
Small - Dense - Prim,106,34619,1|2|5|6,4,1-1|2-5|5-1|6-2
Small - Dense - Prim,107,28132,1|2|4,3,1-1|2-1|4-2
Small - Dense - Prim,108,42202,1|2|4|6,4,1-1|2-1|4-2|6-2
Small - Dense - Prim,109,40319,1|2|4|5,4,1-1|2-5|4-2|5-1
Small - Dense - Prim,110,51257,1|2|4|5|6,5,1-1|2-5|4-2|5-1|6-2
Small - Dense - Prim,111,25782,1|2|3,3,1-1|2-1|3-1
Small - Dense - Prim,112,45807,1|2|3|6,4,1-1|2-1|3-6|6-2
Small - Dense - Prim,113,42360,1|2|3|5,4,1-1|2-5|3-5|5-1
Small - Dense - Prim,114,46260,1|2|3|5|6,5,1-1|2-5|3-5|5-1|6-3
Small - Dense - Prim,115,64911,1|2|3|4,4,1-1|2-1|3-1|4-2
Small - Dense - Prim,116,47117,1|2|3|4|6,5,1-1|2-1|3-6|4-2|6-2
Small - Dense - Prim,117,61414,1|2|3|4|5,5,1-1|2-5|3-5|4-2|5-1
Small - Dense - Prim,118,43965,1|2|3|4|5|6,6,1-1|2-5|3-5|4-2|5-1|6-3
