#medium-kruskal.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Sparse - Kruskal,24,158749,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,40-39|46-21|43-18|16-15|26-25|40-15|41-40|22-21|27-26|12-11|42-41|43-42|14-13|47-22|25-24|48-23|19-18|20-19|45-20|17-16|38-37|44-19|49-48|24-23|13-12|15-14|11-10|21-20|50-25|23-22|37-12|0-0
Medium - Sparse - Kruskal,25,128623,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,27,16-15|26-25|30-29|33-32|22-21|27-26|31-30|12-11|14-13|25-24|32-31|19-18|20-19|17-16|24-23|34-33|13-12|15-14|11-10|21-20|28-27|23-22|29-28|36-11|35-34|36-35|0-0
Medium - Sparse - Kruskal,26,140795,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,46-21|16-15|26-25|30-29|33-32|22-21|27-26|31-30|12-11|14-13|47-22|25-24|32-31|48-23|19-18|20-19|17-16|49-48|24-23|34-33|13-12|15-14|11-10|21-20|50-25|28-27|23-22|29-28|36-11|35-34|36-35|0-0
Medium - Sparse - Kruskal,27,148491,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,40-39|43-18|16-15|26-25|30-29|40-15|33-32|41-40|22-21|27-26|31-30|12-11|37-36|42-41|43-42|14-13|25-24|32-31|19-18|20-19|45-20|17-16|38-37|44-19|24-23|34-33|13-12|15-14|11-10|21-20|28-27|23-22|29-28|37-12|35-34|0-0
Medium - Sparse - Kruskal,28,141224,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,40-39|46-21|43-18|16-15|26-25|30-29|40-15|33-32|41-40|22-21|27-26|31-30|12-11|37-36|42-41|43-42|14-13|47-22|25-24|32-31|48-23|19-18|20-19|45-20|17-16|38-37|44-19|49-48|24-23|34-33|13-12|15-14|11-10|21-20|50-25|28-27|23-22|29-28|37-12|35-34|0-0
Medium - Sparse - Kruskal,29,121325,1|2|3|4|5|6|7|8|9,9,9-8|7-6|2-1|8-7|4-3|3-2|6-5|5-4|0-0
Medium - Sparse - Kruskal,30,118450,1|2|3|4|5|6|7|8|9|46|47|48|49|50,14,9-8|7-6|2-1|50-1|49-48|8-7|47-46|4-3|50-49|3-2|6-5|5-4|48-47|0-0
Medium - Sparse - Kruskal,31,133190,1|2|3|4|5|6|7|8|9|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,40-39|41-40|42-41|43-42|9-8|7-6|2-1|50-1|38-37|49-48|8-7|47-46|4-3|50-49|3-2|6-5|44-43|39-38|45-44|5-4|46-45|48-47|0-0
Medium - Sparse - Kruskal,32,125874,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36,18,34-9|30-29|33-32|31-30|9-8|7-6|32-31|2-1|8-7|34-33|30-5|4-3|3-2|29-28|28-3|35-34|36-35|0-0
Medium - Sparse - Kruskal,33,126253,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,34-9|30-29|33-32|31-30|9-8|7-6|32-31|2-1|50-1|49-48|8-7|34-33|30-5|47-46|4-3|50-49|3-2|29-28|28-3|35-34|36-35|48-47|0-0
