#medium-prim.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Dense - Prim,79,285493,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36,18,10-10|11-33|12-15|13-34|14-31|15-30|16-15|17-11|18-10|28-33|29-33|30-14|31-11|32-34|33-10|34-31|35-32|36-31
Medium - Dense - Prim,80,375176,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,10-10|11-33|12-46|13-34|14-31|15-30|16-49|17-11|18-10|28-33|29-33|30-14|31-11|32-34|33-10|34-31|35-32|36-47|46-33|47-29|48-12|49-12|50-14
Medium - Dense - Prim,81,466334,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,10-10|11-33|12-38|13-34|14-31|15-30|16-15|17-11|18-10|28-38|29-42|30-39|31-11|32-34|33-10|34-31|35-32|36-39|37-10|38-30|39-40|40-29|41-14|42-34|43-14|44-17|45-30
Medium - Dense - Prim,82,527362,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,10-10|11-33|12-46|13-34|14-30|15-30|16-49|17-11|18-10|28-38|29-42|30-39|31-11|32-34|33-10|34-31|35-32|36-39|37-10|38-30|39-49|40-39|41-14|42-34|43-14|44-17|45-30|46-33|47-36|48-12|49-12|50-14
Medium - Dense - Prim,83,333578,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,18,10-10|11-18|12-15|13-18|14-21|15-20|16-15|17-11|18-10|19-21|20-10|21-10|22-12|23-19|24-27|25-21|26-24|27-15
Medium - Dense - Prim,84,396612,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|46|47|48|49|50,23,10-10|11-17|12-48|13-18|14-50|15-27|16-49|17-27|18-10|19-21|20-48|21-10|22-12|23-19|24-26|25-21|26-46|27-24|46-12|47-23|48-13|49-12|50-27
Medium - Dense - Prim,85,414106,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,27,10-10|11-18|12-22|13-18|14-37|15-27|16-12|17-11|18-10|19-21|20-10|21-10|22-37|23-41|24-27|25-21|26-24|27-18|37-10|38-22|39-21|40-39|41-14|42-22|43-14|44-23|45-23
Medium - Dense - Prim,86,528706,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,10-10|11-18|12-49|13-48|14-37|15-27|16-49|17-11|18-10|19-21|20-48|21-10|22-37|23-41|24-26|25-21|26-46|27-24|37-10|38-22|39-21|40-39|41-14|42-22|43-14|44-23|45-23|46-12|47-23|48-12|49-39|50-14
Medium - Dense - Prim,87,400119,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,27,10-10|11-33|12-22|13-34|14-31|15-27|16-15|17-11|18-10|19-21|20-31|21-10|22-34|23-19|24-27|25-21|26-35|27-35|28-33|29-26|30-15|31-21|32-34|33-10|34-31|35-32|36-21
Medium - Dense - Prim,88,507633,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,10-10|11-33|12-46|13-34|14-31|15-27|16-49|17-11|18-10|19-21|20-31|21-10|22-12|23-19|24-27|25-21|26-46|27-35|28-33|29-26|30-15|31-21|32-35|33-10|34-31|35-26|36-47|46-33|47-23|48-20|49-12|50-14
Medium - Dense - Prim,89,621847,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,10-10|11-33|12-22|13-34|14-30|15-30|16-15|17-11|18-10|19-21|20-31|21-10|22-37|23-45|24-27|25-21|26-29|27-35|28-38|29-42|30-39|31-21|32-35|33-10|34-31|35-26|36-39|37-10|38-30|39-21|40-39|41-14|42-22|43-14|44-23|45-30
Medium - Dense - Prim,90,700026,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,10-10|11-33|12-49|13-34|14-30|15-30|16-49|17-11|18-10|19-21|20-31|21-10|22-37|23-45|24-27|25-21|26-46|27-35|28-38|29-42|30-39|31-21|32-35|33-10|34-32|35-26|36-39|37-10|38-30|39-21|40-39|41-14|42-22|43-14|44-23|45-30|46-12|47-23|48-20|49-39|50-14
Medium - Dense - Prim,91,113748,1|2|3|4|5|6|7|8|9,9,1-1|2-5|3-7|4-2|5-8|6-7|7-2|8-1|9-2
Medium - Dense - Prim,92,182896,1|2|3|4|5|6|7|8|9|46|47|48|49|50,14,1-1|2-7|3-7|4-2|5-8|6-46|7-46|8-1|9-2|46-1|47-9|48-1|49-46|50-4
Medium - Dense - Prim,93,263783,1|2|3|4|5|6|7|8|9|37|38|39|40|41|42|43|44|45,18,1-1|2-40|3-40|4-2|5-8|6-45|7-2|8-1|9-2|37-1|38-7|39-40|40-37|41-2|42-4|43-9|44-3|45-7
Medium - Dense - Prim,94,362273,1|2|3|4|5|6|7|8|9|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,1-1|2-40|3-40|4-50|5-8|6-45|7-2|8-1|9-2|37-1|38-7|39-49|40-39|41-2|42-4|43-9|44-3|45-7|46-7|47-9|48-37|49-37|50-45
Medium - Dense - Prim,95,264935,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36,18,1-1|2-7|3-30|4-2|5-8|6-35|7-34|8-1|9-2|28-31|29-33|30-8|31-34|32-1|33-28|34-32|35-32|36-2
Medium - Dense - Prim,96,351097,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,1-1|2-7|3-30|4-2|5-8|6-35|7-34|8-1|9-2|28-46|29-33|30-8|31-34|32-1|33-46|34-32|35-32|36-47|46-7|47-9|48-33|49-46|50-4
Medium - Dense - Prim,97,407228,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,1-1|2-7|3-30|4-42|5-8|6-45|7-38|8-1|9-2|28-38|29-40|30-8|31-34|32-34|33-29|34-42|35-32|36-39|37-1|38-30|39-30|40-39|41-2|42-29|43-9|44-3|45-30
Medium - Dense - Prim,98,529926,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,1-1|2-7|3-30|4-42|5-8|6-45|7-38|8-1|9-2|28-38|29-40|30-8|31-34|32-34|33-46|34-42|35-32|36-39|37-1|38-30|39-30|40-39|41-2|42-29|43-9|44-3|45-30|46-7|47-9|48-37|49-39|50-4
Medium - Dense - Prim,99,240604,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27,18,1-1|2-25|3-19|4-24|5-8|6-22|7-2|8-1|9-2|19-21|20-7|21-25|22-2|23-19|24-26|25-1|26-3|27-24
Medium - Dense - Prim,100,326177,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|46|47|48|49|50,23,1-1|2-7|3-19|4-24|5-8|6-22|7-46|8-1|9-2|19-21|20-7|21-25|22-2|23-47|24-26|25-1|26-3|27-24|46-26|47-9|48-20|49-46|50-27
Medium - Dense - Prim,101,419379,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,27,1-1|2-22|3-40|4-42|5-8|6-22|7-2|8-1|9-2|19-3|20-7|21-25|22-37|23-45|24-4|25-1|26-3|27-24|37-1|38-22|39-21|40-39|41-2|42-22|43-9|44-23|45-6
Medium - Dense - Prim,102,508881,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,1-1|2-22|3-19|4-42|5-8|6-22|7-2|8-1|9-47|19-21|20-7|21-25|22-37|23-45|24-4|25-1|26-46|27-24|37-1|38-22|39-21|40-39|41-2|42-22|43-9|44-23|45-6|46-7|47-23|48-20|49-39|50-27
Medium - Dense - Prim,103,383251,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,27,1-1|2-7|3-26|4-24|5-8|6-22|7-20|8-1|9-2|19-3|20-31|21-25|22-2|23-19|24-27|25-1|26-35|27-35|28-33|29-26|30-3|31-21|32-34|33-29|34-31|35-32|36-2
Medium - Dense - Prim,104,502178,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,1-1|2-7|3-26|4-24|5-8|6-22|7-46|8-1|9-2|19-3|20-31|21-25|22-2|23-47|24-27|25-1|26-35|27-35|28-46|29-26|30-3|31-21|32-34|33-46|34-31|35-32|36-47|46-26|47-9|48-20|49-46|50-27
Medium - Dense - Prim,105,533646,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,1-1|2-22|3-30|4-42|5-8|6-22|7-2|8-1|9-2|19-3|20-31|21-31|22-37|23-45|24-27|25-21|26-29|27-35|28-38|29-42|30-39|31-34|32-35|33-29|34-32|35-26|36-39|37-1|38-30|39-21|40-39|41-2|42-22|43-9|44-23|45-6
Medium - Dense - Prim,106,692448,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,1-1|2-22|3-30|4-42|5-8|6-22|7-2|8-1|9-2|19-3|20-31|21-31|22-37|23-45|24-27|25-21|26-29|27-35|28-38|29-42|30-39|31-34|32-35|33-46|34-32|35-26|36-39|37-1|38-30|39-21|40-39|41-2|42-22|43-9|44-23|45-6|46-7|47-9|48-20|49-39|50-27
Medium - Dense - Prim,107,510829,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,18,1-1|2-13|3-15|4-15|5-8|6-18|7-2|8-1|9-2|10-18|11-1|12-4|13-18|14-9|15-7|16-3|17-11|18-11
Medium - Dense - Prim,108,399010,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|46|47|48|49|50,23,1-1|2-7|3-16|4-15|5-8|6-18|7-46|8-1|9-2|10-18|11-1|12-46|13-2|14-50|15-7|16-49|17-11|18-13|46-1|47-9|48-12|49-12|50-4
Medium - Dense - Prim,109,407612,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45,27,1-1|2-41|3-40|4-15|5-8|6-18|7-2|8-1|9-2|10-37|11-1|12-38|13-2|14-37|15-7|16-3|17-11|18-10|37-1|38-7|39-40|40-37|41-14|42-4|43-14|44-17|45-6
Medium - Dense - Prim,110,487293,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,1-1|2-7|3-16|4-15|5-8|6-18|7-46|8-1|9-2|10-37|11-1|12-49|13-2|14-41|15-7|16-49|17-11|18-10|37-1|38-7|39-49|40-39|41-2|42-4|43-14|44-17|45-6|46-12|47-9|48-12|49-37|50-14
Medium - Dense - Prim,111,399889,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36,27,1-1|2-7|3-30|4-15|5-8|6-18|7-15|8-1|9-2|10-33|11-31|12-4|13-2|14-30|15-30|16-3|17-11|18-10|28-33|29-33|30-8|31-34|32-34|33-11|34-13|35-32|36-2
Medium - Dense - Prim,112,504550,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,1-1|2-7|3-30|4-15|5-8|6-18|7-15|8-1|9-2|10-33|11-33|12-46|13-2|14-30|15-30|16-49|17-11|18-10|28-46|29-33|30-8|31-11|32-34|33-46|34-31|35-32|36-47|46-7|47-9|48-12|49-12|50-14
Medium - Dense - Prim,113,585240,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,1-1|2-7|3-30|4-42|5-8|6-18|7-15|8-1|9-2|10-37|11-33|12-38|13-34|14-31|15-30|16-3|17-11|18-10|28-38|29-42|30-8|31-11|32-34|33-10|34-31|35-32|36-39|37-1|38-30|39-30|40-39|41-14|42-34|43-14|44-17|45-6
Medium - Dense - Prim,114,725187,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,1-1|2-7|3-30|4-42|5-8|6-18|7-15|8-1|9-2|10-37|11-33|12-46|13-2|14-30|15-30|16-49|17-11|18-10|28-38|29-42|30-39|31-11|32-34|33-10|34-31|35-32|36-39|37-1|38-30|39-49|40-39|41-14|42-34|43-14|44-17|45-6|46-33|47-9|48-12|49-12|50-14
Medium - Dense - Prim,115,404765,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,27,1-1|2-22|3-19|4-24|5-8|6-18|7-2|8-1|9-2|10-21|11-1|12-22|13-2|14-21|15-7|16-3|17-11|18-10|19-21|20-7|21-25|22-6|23-19|24-27|25-1|26-3|27-15
Medium - Dense - Prim,116,495409,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|46|47|48|49|50,32,1-1|2-22|3-26|4-24|5-8|6-18|7-2|8-1|9-2|10-21|11-1|12-46|13-2|14-50|15-7|16-49|17-11|18-10|19-3|20-48|21-25|22-6|23-47|24-27|25-1|26-46|27-15|46-7|47-9|48-12|49-12|50-27
Medium - Dense - Prim,117,542811,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,36,1-1|2-22|3-40|4-42|5-8|6-18|7-2|8-1|9-2|10-37|11-1|12-22|13-2|14-41|15-7|16-3|17-11|18-10|19-3|20-7|21-10|22-37|23-45|24-27|25-21|26-3|27-15|37-1|38-22|39-21|40-39|41-2|42-22|43-14|44-23|45-6
Medium - Dense - Prim,118,652895,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,1-1|2-22|3-40|4-42|5-8|6-18|7-2|8-1|9-2|10-37|11-1|12-49|13-2|14-41|15-7|16-49|17-11|18-10|19-3|20-7|21-10|22-37|23-45|24-27|25-21|26-46|27-15|37-1|38-22|39-21|40-39|41-2|42-22|43-14|44-23|45-6|46-12|47-9|48-20|49-39|50-14
Medium - Dense - Prim,119,539420,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,36,1-1|2-7|3-30|4-24|5-8|6-22|7-15|8-1|9-2|10-18|11-33|12-22|13-2|14-30|15-30|16-3|17-11|18-6|19-3|20-31|21-10|22-2|23-19|24-27|25-21|26-35|27-35|28-33|29-26|30-8|31-21|32-34|33-10|34-31|35-32|36-2
Medium - Dense - Prim,120,640827,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,41,1-1|2-7|3-30|4-24|5-8|6-18|7-15|8-1|9-2|10-33|11-33|12-46|13-2|14-30|15-30|16-49|17-11|18-10|19-3|20-31|21-10|22-2|23-47|24-27|25-21|26-46|27-35|28-46|29-26|30-8|31-34|32-35|33-46|34-32|35-26|36-47|46-7|47-9|48-20|49-12|50-14
Medium - Dense - Prim,121,773835,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,45,1-1|2-7|3-30|4-42|5-8|6-18|7-15|8-1|9-2|10-21|11-31|12-22|13-2|14-30|15-30|16-3|17-11|18-10|19-3|20-31|21-39|22-2|23-45|24-27|25-21|26-29|27-35|28-38|29-42|30-8|31-21|32-35|33-10|34-31|35-26|36-39|37-22|38-30|39-30|40-39|41-14|42-22|43-14|44-23|45-6
Medium - Dense - Prim,122,886506,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,50,1-1|2-7|3-30|4-42|5-8|6-22|7-15|8-1|9-2|10-18|11-33|12-49|13-34|14-30|15-30|16-49|17-11|18-6|19-3|20-31|21-39|22-42|23-45|24-27|25-21|26-46|27-35|28-38|29-26|30-8|31-34|32-35|33-10|34-32|35-26|36-39|37-22|38-30|39-30|40-39|41-14|42-29|43-14|44-23|45-6|46-12|47-9|48-20|49-39|50-14
