#medium-prim.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Sparse - Prim,24,221824,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|19-18|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-19|45-20|46-21|47-22|48-23|49-48|50-25
Medium - Sparse - Prim,25,147479,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,27,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-19|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-27|27-28|28-29|29-30|30-31|31-32|32-33|33-34|34-35|35-36|36-11
Medium - Sparse - Prim,26,156545,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-19|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-27|27-28|28-29|29-30|30-31|31-32|32-33|33-34|34-35|35-36|36-11|46-21|47-22|48-23|49-48|50-25
Medium - Sparse - Prim,27,202288,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|19-18|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-37|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-19|45-20
Medium - Sparse - Prim,28,199443,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|19-18|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-37|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-19|45-20|46-21|47-22|48-23|49-48|50-25
Medium - Sparse - Prim,29,42999,1|2|3|4|5|6|7|8|9,9,1-1|2-1|3-2|4-3|5-4|6-5|7-6|8-7|9-8
Medium - Sparse - Prim,30,91398,1|2|3|4|5|6|7|8|9|46|47|48|49|50,14,1-1|2-1|3-2|4-3|5-4|6-5|7-6|8-7|9-8|46-47|47-48|48-49|49-50|50-1
Medium - Sparse - Prim,31,74419,1|2|3|4|5|6|7|8|9|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,1-1|2-1|3-2|4-3|5-4|6-5|7-6|8-7|9-8|37-38|38-39|39-40|40-41|41-42|42-43|43-44|44-45|45-46|46-47|47-48|48-49|49-50|50-1
Medium - Sparse - Prim,32,67224,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36,18,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|28-3|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-35
Medium - Sparse - Prim,33,82436,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|28-3|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-35|46-47|47-48|48-49|49-50|50-1
Medium - Sparse - Prim,34,184093,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|28-3|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-35|37-36|38-37|39-38|40-39|41-40|42-41|43-42|44-43|45-44
Medium - Sparse - Prim,35,116383,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|28-3|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-35|37-36|38-37|39-38|40-39|41-40|42-41|43-42|44-43|45-44|46-45|47-46|48-49|49-50|50-1
Medium - Sparse - Prim,36,77366,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27,18,1-1|2-1|3-2|4-3|5-4|6-5|7-6|8-7|9-8|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26
Medium - Sparse - Prim,37,85677,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|46|47|48|49|50,23,1-1|2-1|3-2|4-3|5-4|6-5|7-6|8-7|9-8|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26|46-21|47-22|48-23|49-48|50-1
Medium - Sparse - Prim,38,92721,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,27,1-1|2-1|3-2|4-3|5-4|6-5|7-6|8-7|9-8|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26|37-38|38-39|39-40|40-41|41-42|42-43|43-44|44-19|45-20
Medium - Sparse - Prim,39,114022,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,1-1|2-1|3-2|4-3|5-4|6-5|7-6|8-7|9-8|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26|37-38|38-39|39-40|40-41|41-42|42-43|43-44|44-19|45-20|46-21|47-22|48-23|49-48|50-1
Medium - Sparse - Prim,40,109348,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,27,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-35
Medium - Sparse - Prim,41,123406,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-35|46-21|47-22|48-23|49-48|50-1
Medium - Sparse - Prim,42,158900,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-37|37-38|38-39|39-40|40-41|41-42|42-43|43-44|44-19|45-20
Medium - Sparse - Prim,43,252710,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-37|37-38|38-39|39-40|40-41|41-42|42-43|43-44|44-19|45-20|46-21|47-22|48-23|49-48|50-1
Medium - Sparse - Prim,44,87711,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,18,1-1|2-1|3-2|4-3|5-4|6-5|7-6|8-7|9-8|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-17
Medium - Sparse - Prim,45,121076,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|46|47|48|49|50,23,1-1|2-1|3-2|4-3|5-4|6-5|7-6|8-7|9-8|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-17|46-47|47-48|48-49|49-50|50-1
Medium - Sparse - Prim,46,136055,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45,27,1-1|2-1|3-2|4-3|5-4|6-5|7-6|8-7|9-8|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-43|45-44
Medium - Sparse - Prim,47,173711,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,1-1|2-1|3-2|4-3|5-4|6-5|7-6|8-7|9-8|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-43|45-44|46-45|47-46|48-49|49-50|50-1
Medium - Sparse - Prim,48,157078,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36,27,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-17|28-3|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-11
